Species,Control,Thinned
Achillea millefolium,2,17
Allium cernuum,0,7
Androsace septentrionalis,1,13
Antennaria parvifolia,7,24
Antennaria rosea,0,2
Arctostaphylos uva-ursi,2,24
Arnica cordifolia,1,0
Artemisia frigida,2,7
Astragalus drummondii,1,0
Astragalus miser,0,2
Campanula rotundifolia,3,4
Castilleja integra,1,0
Cerastium arvense,3,1
Cercocarpus montanus,3,1
Chaetopappa ericoides,0,1
Cirsium arvense,0,1
Clematis columbiana,6,0
Collinsia parviflora,0,3
Conyza canadensis,0,1
Cryptantha ambigua,0,1
Delphinium nuttallianum,1,0
Draba aurea,2,3
Eremogone fendieri,0,1
Erigeron,0,6
Erigeron compositus,0,1
Erigeron divergens,0,1
Erigeron flagellaris,0,1
Erigeron speciosus,0,1
Eriogonum umbellatum,12,2
Erysimum asperum,0,1
Erysimum capitatum,0,2
Fragaria virginiana,3,1
Galium boreale,1,0
Geranium caespitosum,8,12
Glycyrrhiza lepidota,1,0
Harbouria trachypleura,6,6
Helianthus pauciflorus,1,0
Heterotheca villosa,13,23
Jamesia americana,17,4
Lithospermum incisum,0,3
Lupinus argenteus,0,6
Maianthemum racemosum,5,1
Mertensia lanceolata,11,13
None,339,211
Oreocarya virgata,0,1
Oxytropis lambertii,2,2
Oxytropis sericea,2,0
Packera fendleri,0,19
Penstemon virens,7,33
Physaria,5,0
Potentilla,0,7
Potentilla pensylvanica,0,5
Purshia tridenta,1,1
Ribes cereum,6,1
Scutellaria brittonii,1,0
Sedum lanceolatum,3,21
Senecio integerrimus,0,1
Solidago missouriensis,0,26
Solidago multriadiata,0,1
Stenaria nigricans,0,1
Symphyotrichum laeve,0,1
Symphyotrichum porteri,3,8
Taraxacum officinale,0,1
Thermopsis rhombifolia,0,3
Turritis glabra,0,5
Verbascum thapsus,0,4
